id	lastpage	startlanguage	KASSENZULASSUNG[1]	KASSENZULASSUNG[2]	KASSENZULASSUNG[3]	KASSENZULASSUNG[4]	KASSENZULASSUNG[5]	PT[1]	PT[2]	PT[3]	PT[4]	PT[5]	PT2[1]	PT2[2]	KONTAKTANZAHL[SQ001]	KONTAKTANZAHL[SQ002]	KONTAKTANZAHL[SQ003]	KONTAKTANZAHLWENIG[Y001_X001]	KONTAKTANZAHLWENIG[Y001_X002]	KONTAKTANZAHLWENIG[Y001_X003]	KONTAKTANZAHLWENIG[Y002_X001]	KONTAKTANZAHLWENIG[Y002_X002]	KONTAKTANZAHLWENIG[Y002_X003]	KONTAKTANZAHLWENIG[Y003_X001]	KONTAKTANZAHLWENIG[Y003_X002]	KONTAKTANZAHLWENIG[Y003_X003]	KONTAKTANZAHLWENIG[Y004_X001]	KONTAKTANZAHLWENIG[Y004_X002]	KONTAKTANZAHLWENIG[Y004_X003]	KONTAKTANZAHLWENIG[Y005_X001]	KONTAKTANZAHLWENIG[Y005_X002]	KONTAKTANZAHLWENIG[Y005_X003]	KONTAKTANZAHLWENIG[Y006_X001]	KONTAKTANZAHLWENIG[Y006_X002]	KONTAKTANZAHLWENIG[Y006_X003]	KONTAKTANZAHLWENIG2	KONTAKTANZAHLMEHR[Y001_X001]	KONTAKTANZAHLMEHR[Y001_X002]	KONTAKTANZAHLMEHR[Y001_X003]	KONTAKTANZAHLMEHR[Y002_X001]	KONTAKTANZAHLMEHR[Y002_X002]	KONTAKTANZAHLMEHR[Y002_X003]	KONTAKTANZAHLMEHR[Y003_X001]	KONTAKTANZAHLMEHR[Y003_X002]	KONTAKTANZAHLMEHR[Y003_X003]	KONTAKTANZAHLMEHR[Y004_X001]	KONTAKTANZAHLMEHR[Y004_X002]	KONTAKTANZAHLMEHR[Y004_X003]	KONTAKTANZAHLMEHR[Y005_X001]	KONTAKTANZAHLMEHR[Y005_X002]	KONTAKTANZAHLMEHR[Y005_X003]	KONTAKTANZAHLMEHR[Y006_X001]	KONTAKTANZAHLMEHR[Y006_X002]	KONTAKTANZAHLMEHR[Y006_X003]	KONTAKTANZAHLMEHR2	PATGRUPPEN1WELLE	PATGRUPPEN1WELLE2	PATGRUPPEN2WELLE	PATGRUPPEN2WELLE2	PATGRUPPEN3WELLE	PATGRUPPEN3WELLE2	SCHWIERIGKEIT	SCHWIERIGKEIT2[Y001_X001]	SCHWIERIGKEIT2[Y001_X002]	SCHWIERIGKEIT2[Y001_X003]	SCHWIERIGKEIT2[Y002_X001]	SCHWIERIGKEIT2[Y002_X002]	SCHWIERIGKEIT2[Y002_X003]	SCHWIERIGKEIT2[Y003_X001]	SCHWIERIGKEIT2[Y003_X002]	SCHWIERIGKEIT2[Y003_X003]	SCHWIERIGKEIT2[Y004_X001]	SCHWIERIGKEIT2[Y004_X002]	SCHWIERIGKEIT2[Y004_X003]	SCHWIERIGKEIT2[Y005_X001]	SCHWIERIGKEIT2[Y005_X002]	SCHWIERIGKEIT2[Y005_X003]	SCHWIERIGKEIT2[Y006_X001]	SCHWIERIGKEIT2[Y006_X002]	SCHWIERIGKEIT2[Y006_X003]	SCHWIERIGKEIT3	PATBEHANDLUNG[1]	PATBEHANDLUNG[2]	PATBEHANDLUNG[3]	PATBEHANDLUNG[0]	FINANZEN[1]	FINANZEN[2]	FINANZEN[0]	FINANZEN[other]	KV[1]	KV[2]	KV[3]	KV[4]	KV[5]	KV2	POSITIVPAT	POSITIVPERSONAL	PRAXISSCHLIESSUNG	IMPFUNG	IMPFUNG2	EINWEISUNG[Y001]	EINWEISUNG[Y002]	EINWEISUNG[Y003]	REDUKTIONEINWEISUNG[1]	REDUKTIONEINWEISUNG[2]	REDUKTIONEINWEISUNG[3]	REDUKTIONEINWEISUNG[4]	REDUKTIONEINWEISUNG[5]	REDUKTIONEINWEISUNG[6]	REDUKTIONEINWEISUNG[7]	REDUKTIONEINWEISUNG[other]	BETREUUNG	BETREUUNG2	WENIGBESUCH[1]	WENIGBESUCH[2]	WENIGBESUCH[3]	WENIGBESUCH[4]	WENIGBESUCH[5]	WENIGBESUCH[6]	WENIGBESUCH[7]	WENIGBESUCH[8]	WENIGBESUCH[other]	EINWEISUNGHEIM	EINWEISUNGHEIM2[1]	EINWEISUNGHEIM2[2]	EINWEISUNGHEIM2[3]	EINWEISUNGHEIM2[4]	EINWEISUNGHEIM2[5]	EINWEISUNGHEIM2[6]	EINWEISUNGHEIM3[1]	EINWEISUNGHEIM3[2]	EINWEISUNGHEIM3[3]	EINWEISUNGHEIM3[4]	EINWEISUNGHEIM3[5]	EINWEISUNGHEIM3[6]	EINWEISUNGHEIM3[7]	EINWEISUNGHEIM3[8]	EINWEISUNGHEIM3[9]	TELEMED[Y001_X001]	TELEMED[Y001_X002]	TELEMED[Y001_X003]	TELEMED[Y001_X004]	TELEMED[Y001_X005]	TELEMED[Y002_X001]	TELEMED[Y002_X002]	TELEMED[Y002_X003]	TELEMED[Y002_X004]	TELEMED[Y002_X005]	TELEMED[Y003_X001]	TELEMED[Y003_X002]	TELEMED[Y003_X003]	TELEMED[Y003_X004]	TELEMED[Y003_X005]	TELEMEDPAT[SQ001]	TELEMEDPAT[SQ002]	TELEMEDPAT[SQ003]	TELEMEDPAT[SQ004]	TELEMEDPAT[SQ005]	TELEMEDPAT[SQ006]	TELEMEDPAT[SQ007]	POSTCOVID	POSTCOVID2	PSYCHOPATHO[1]	PSYCHOPATHO[2]	PSYCHOPATHO[3]	PSYCHOPATHO[4]	PSYCHOPATHO[5]	PSYCHOPATHO[6]	PSYCHOPATHO[7]	PSYCHOPATHO[8]	PSYCHOPATHO[9]	PSYCHOPATHO[10]	PSYCHOPATHO[11]	PSYCHOPATHO[12]	PSYCHOPATHO[13]	PSYCHOPATHO[14]	PSYCHOPATHO[other]	POSTCOVIDBEH[1]	POSTCOVIDBEH[2]	POSTCOVIDBEH[3]	POSTCOVIDBEH[4]	POSTCOVIDBEH[5]	POSTCOVIDBEH[6]	POSTCOVIDBEH[7]	POSTCOVIDBEH[8]	POSTCOVIDBEH[other]	GOODPRACTICE
19	9	de			Y										2	2	2																																							2		0		0		1	1	1	1		1	1										1	1	1	Soziale Isolation, extreme Verinsamung, weniger Kontakte zu Freunden und Angehörigen. Verschlechterung von Symptomen.	Y	Y	Y			Y		Gerichtsgutachten wurden wegen Betreuungen , auch bei Klinikfällen nachgefragt. Dort wurden zahlreiche Aufträge in hoher Dichte an mich als Gutachter versandt. Inzwischen habe ich wegen Überlastung ein Moratorium verhängt. Schriftlich ans Gericht.	1	1	1	1	1		1	0		bei chronischen Patienten, die zurückgezogen leben,  die vereinsamt und behindert sind.	Impfen duch die Fachärzte/ Hausärzte	1	1	1	Y			Y					1	3										2																	1				1					1					1	1	2	2	2	1	2	1	5				Y	Y		Y			Y	Y					Y	Y	Y		Y					auf Hygiene mehr und dauernd achten, Achten auf die Belastbarkeit aller MitarbeiterInnen.
21	9	de				Y									1	2	1																				1			1					1			1	1							0		0		0		1				1		1	1		1	1			1		1					Y		Y				Y		1	1	1	1	1		1	0				1	1	1				Y					1	2	Y									2																	1					1				1					1	1	1	1	1	1	1	1	10	Y					Y		Y			Y									Y		Y	Y		
22	9	de	Y			Y									3	2	2	1												1																										1	Weniger Kontakte im Altenheim und Wohneinrichtungen, auf das absolute Minimum beschränkt und durch Telefonat und Videosprechstunde ersetzt, wo immer möglich.	1	Mehr vorwiegend psychiatrische Videosprechstunden - auch mit Neupatienten.	1	Nachfrage nach Videosprechstunden gestiegen.	0																							Y		Y			1	1	2	1	1	Insgesamt wurde die Unterstützung gut mit einer Anlaufschwierigkeit in den ersten 2 Monaten.	1	0		Psychose- und Angstpatient*innen	Insbesondere in Gemeinschaftseinrichtungen werden diese vom Hilfssystem gut realisiert. Fast alle Patienten, die in Einrichtungen leben oder im Betreuten Wohnen für psychisch Kranke haben Impfangebote erhalten oder wurden geimpft.	2	2	2									1	2		Y			Y		Y			2																	1						1					1			2	1	3	2	2	1	2	0																										Ich habe gute Erfahrungen in der psychiatrischen Erstsichtung durch Videosprechstunden.  Dies hat mir sehr gut geholfen, einen Eindruck davon zu bekommen, ob ich den Patienten gut behandeln und schnell helfen konnte trotz knapper Ressourcen.  Die Patienten, die ich nicht aufnehmen konnte profitierten  durch die Empfehlung geeigneter Behandlungspfade oder Verweis an spezialisierte Kollegen weiter zu leiten.  Dies ist von den Patienten auch oft als besonders hilfreich wahrgenommen worden, weil sie auf diese Weise zum ersten Mal die Gelegenheit zu einem Expertengespräch und einem Pfad durch den für den Laien kaum durchschaubaren Wust von Behandlungsmöglichkeiten zu erhalten.
23	9	de			Y										2	2	1																					1	1				1	1	1				1	1	1	1	1	1	lange Wartezeiten bei vielen Psychiatern, Bedarf an Abklärung von ADHS, Austismus-Spektrum-Störungen	1	Studenten mit Problemen durch Online-Unterricht, fehlende soziale Kontakte, Tagesstruktur	1	Mütter mit Mehrfachbalstung Homeoffice, Kinder, Wegbrechen von Hilfen durch Großeltern, soziale Einrichtungen	1	"s.o. Mütter
Arbeitnehmer, die fast nur im Homeoffice arbeiten, wenig soziale Kontakte haben"	1		1	1		1	1										1	1	1	"Vermittlung eines ambulanten Psychotherapieplatzes ist fast unmöglich, 
Anlaufstellen für Kinder- und Jugendpsychiatrie völlig überlastet
Besuch von Angehörigen bei Klinikaufenthalt nicht möglich"	Y						Y		1	1	1	1	1		1	1	0	"""Coronaleugner"", häufig mit esoterisch anmutenden Ideen bzw. durch soziale Netzwerke beeinflusst
Pat. mit geringer Bildung ohne sozialpädagogische/therapeutische Unterstützung
ausländische Patienten mit schlechter Integration"	Aufklärung!	2	2	2									0																													1					1			1					1	1	1	2	2	1	1	1	2						Y	Y									Y	Y		Y	Y	Y				"Probleme:
Große Herausforderungen für das gesamte Personal, sich immer wieder auf neue Aspekte der Pandemie, Hygiene und Pat. versorgung einzustellen.

Positive Erfahrungen:
Arbeit in getrennten Teams zur Minimierung des Infektionsrisikos, 
Angebot der Video- und Telefonsprechstunde für Patienten, 
Möglichkeit, Rezepte zuzuschicken
Impfmöglichkeit in niedergelassenen Praxen"
24	9	de			Y										2	2	2																																							1	Angstpatienten blieben vermehrt zu Hause, sagten den Termin ab.	1	wie oben	1	wie oben	1													1	1	1	1	1	1	"Versorgung mit Gruppentherapie, Rehamaßnahmen, Krankenhausbehandlungen, psychisch-funktionelle Ergotherapie, Logopädie, Physiotherapie, Reha-Sport, fehlende Kompensationsmaßnahmen, Aktivierung nicht mehr möglich, bei Lock-Down. Chronifizierung von Angststörungen, Vermehrter Rückzug in die ""Bubble"" und Verschwörungstheorien, Verdeutlichung auch negativer persönlicher Faktoren wie Egozentrismus, unzureichende Rücksichtnahme auf Andere, auch ""Ausnutzung"" der Optionen der Pandemie mit finanzieller Vorteilsnahme, Versuch der Attesterschleichung (""Maskenattest"", Impf-Attest) mit durchaus kontroverser Gesprächsführung und auch Behandlungsabbruch."	Y	Y	Y				Y		2	1	2	2	1	Ich begrüße die Unterstüzung der KV im dem Maßstab, wie er erfolgte. Ich würde mir allerdings für die Zukunft mehr Unterstützung bei der schn langen Problematik der Medikamentenverordnung (Lieferengpässe/Regressgefahr), Honrarmaßstab (jährliche Honorarsteigerungen permanent unter Inflationsniveau!) und Hilsmittelverordnung etc. wünschen, was unabhängig von der Pandemie unfassbar schlecht funktioniert und unbedingt mehr politischen Druck entwickeln muss.	1	0		Obdachlose Patient*innen, Polytox-Patient*innen	Mobile Impfteams	1	1	1		Y		Y	Y	Y			1	2	Y	Y								1	Y	Y	Y				Y	Y			Y	Y	Y	Y				1			1					1					3	3	3	3	3	3	3	1	3		Y				Y	Y				Y					Y	Y								"EInerseits wurde Maskepflicht eingehalten (nur wenige Ausnahmen), andererseits hat sich die Nutzung der Desinfektionsspender in Anmeldung-Toiletten-Wartezimmer, gemssen an der Auffüllfrequenz, nicht geändert. Trotzdem gab es keine Grippewelle! Die ""offene Sprechstunde"" wurde entzerrt, um Abstände einzuhalten, das funtionierte gut, ging aber auf die Arbeitszeit der Mitarbeiter*innen und verursacht daher natürlich erhöhte Kosten. Wenn die Pandemie endet wird das System sich also wieder ändern."
26	9	de			Y										2	2	2																																							0		0		0		0																							Y			Y		2	1	2	1	1		0	0		Keine Probleme.	Weiß ich nicht.	2	2	2									1	2		Y								2																		1			1					1					2	2	2	2	2	2	2	0																										
27	8	de			Y	Y									3	2	2	1																																						1	bekannte Patienten der Altersgruppe >70 jahre hatten weniger Kontakte	0		0		1																1	1	1	Wegfall oder Verschiebung tagesklinischer psychiatrischer, psychosomatischer und schmerztherapeutischer Behandlungsmöglichkeiten, Wegfall oder Verschiebung stationärer psychiatrischer und psychosomatischer Behandlungsmöglichkeiten				Y		Y		Zunahme der Bürokratie	1	1	1	1	1	zusätzlicher Zeitaufwand durch Sonderregelungen mit nur kurzfristiger Gültigkeit, häufige Änderungen, komplizierte Abrechnung z.B. von Impfattesten, neue Abrechnungsziffern	0	0		bei den Risikogruppen keine anderen Probleme als bei Nicht-Risikogruppen	bürokratiearme Impfmöglichkeit in den Praxen , insbesondere auch Wegfall der Priorisierung	1	1	1	Y	Y		Y					1	2	Y					Y				1				Y	Y	Y											1				1					1					1	1	1	2	2	1	1	0																										
28	9	de	Y				Y		Y				Y		3	3	3	1			1	1		1																																2		0		1	In 3. Welle schwer Chron. Kranke erschöpft, mehr Krisen , mehr Kontakte	1						1											1	1	Eingeschränkte  Plätze in Tageskliniken				Y	Y				1	2	1	1	1		1	1	1	Bei Angstpat.	Trotz Priorität 2 Impftermine in Impfzentren erst Ende Juni (bei Anmeldung April!)	4	1	3			Y	Y					0																													1				1		1		1					1	2	3	2	2	2	1	0																										"Im März 2020 war CoronaTestung für Medizin. Personal nicht möglich, wenn nicht belegbarer Kontakt. 
Ich stand mit Arzthelferin in Testungstelle und wir wurden abgewiesen! Fühlte bei mir deutlich. Krankheitssymptome - fiel nachfolgend 4 Wochen aus. 
Inzwischen Kausalitätskette  -1Pat. Sänger in Berliner Domchor - geklärt, entsprechende Arzthelferin hat nachgewiesene AK."
30	9	de			Y										2	2	2																																							0		0		0		1																1	1	1	Probleme, ambulante oder stationäre Termine in Kliniken zu bekommen.				Y			Y		1	2	2	2	1		0	0		Eigentlich keine		1	1	1	Y			Y					1	2		Y								2																	1	1	1		1					1					1	1	3	2	2	1	1	1	5	Y					Y	Y	Y			Y					Y	Y			Y	Y				
31	9	de	Y			Y	Y		Y				Y		2	1	1																					1	1		1	1		1	1					1	1					0		1	deutliche Zunahme bei Diagnosen Angsterkrankungen, Zwangsstörungen, Depressiver Formenkreis	1	s.o.	1		1	1		1	1			1												Y	Y				Y		1	2	2	1	1		1	0		Schiziophrener Formenkreis, schwere Zwangsstöungen	Verzicht auf die ausufernde Bürokratie	2	3	3									1	3										2																	1				1					1					1	1	3	3	3	3	3	1	20	Y			Y	Y	Y	Y			Y	Y					Y	Y	Y	Y	Y	Y				Pandemie hat eklatanten Mangel  an Psychiatern und Psychotherapeten noch mehr verdeutlicht, auch mit Selbstausbeutung (12h Arbeitstag) nicht mal ansatzweise kompensierbar
32	9	de	Y												3	3	2													1	1																									0		0		0		1																1	1	1	fehlende Präsenz-Selbsthilfegruppen, fehlende präsenz-Aktivitäten der sozialpsych. Dienste				Y			Y		1	2	2	2	2		1	1	1	multimorbide ältere psychiatr. Patienten	aufsuchende Impfung	1	1	3	Y	Y							0																												1				1					1					1	1	1	1	1	1	1	1	1					Y	Y					Y					Y	Y			Y	Y				
34	9	de	Y				Y		Y				Y		2	2	2																																							0		0		0		0																				Y	Y	Y			Y		ppersonalkosten ansteigend, verwaltungstätigkeiten ansteigend	2	2	2	1	2	Staatliche Ausgleichszahlungen für vorsorgliche Praxisschließungen analog Klinikvorgehenweise gabs nicht, lediglich Hinweise zu was man als Niedergelassener verpflichtet ist	1	0		residual Schiziphrene	jemanden der die Motivation, Anmeldung Terminierung und Transport zur Impfung übernimmt	1	1	1				Y		Y			1	3										2																	1				1					1					1	1	1	1	1	1	1	0																										
